stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
255,255,Woolwich at Kerr northbound,Woolwich Street,43.551843,-80.259124,,,,,,
256,256,Woolwich at Powell northbound,Woolwich Street,43.553098,-80.260831,,,,,,
257,257,Woolwich at Earl northbound,Woolwich Street,43.555928,-80.264751,,,,,,
258,258,Woolwich at Speedvale northbound,Woolwich Street,43.55807,-80.267637,,,,,,
259,259,Woolwich at Evergreen Seniors Centre northbound,Woolwich Street,43.560148,-80.270523,,,,,,
260,260,Woolwich at Marilyn northbound,Woolwich Street,43.561905,-80.272942,,,,,,
262,262,Woodlawn at Nicklin westbound,Woodlawn Road West,43.561075,-80.283015,,,,,,
263,263,Woodlawn at Edinburgh westbound,Woodlawn Road West,43.558503,-80.286608,,,,,,
264,264,Woodlawn at Dawson westbound,Woodlawn Road West,43.556823,-80.288933,,,,,,
265,265,Woodlawn at Arrow westbound,Woodlawn Road West,43.554467,-80.292162,,,,,,
266,266,Woodlawn at Silvercreek westbound,Woodlawn Road West,43.551694,-80.295963,,,,,,
267,267,Woodlawn at Regal westbound,Woodlawn Road West,43.548725,-80.300025,,,,,,
268,268,Woodlawn at Royal westbound,Woodlawn Road West,43.546384,-80.303232,,,,,,
269,269,Imperial at Woodlawn southbound,Imperial Road North,43.543553,-80.305874,,,,,,
270,270,Massey at Imperial eastbound,Massey Road,43.541132,-80.301177,,,,,,
271,271,Royal at Massey southbound,Royal Road,43.542697,-80.298096,,,,,,
272,272,Royal at ARC Industries southbound,Royal Road,43.54011,-80.294494,0,,,,,0
273,273,Imperial at Speedvale southbound,Imperial Road North,43.53663,-80.296316,,,,,,
274,274,Imperial at Thornhill southbound,Imperial Road North,43.534179,-80.294708,,,,,,
275,275,Imperial at Kipling southbound,Imperial Road North,43.530806,-80.294185,,,,,,
276,276,Imperial at Willow southbound,Imperial Road North,43.528769,-80.292303,0,,,,,0
277,277,Willow at Flaherty westbound,Willow Road,43.527616,-80.296497,0,,,,,0
278,278,19 Elmira southbound,Elmira Road South,43.522933,-80.292325,0,,,,,0
